user_id,punya_usaha,bidang_keahlian,hobi,modal_usaha,nama_usaha
kxE994hBIQMsrHVtdk1qIaHcE3W2,TRUE,['kuliner'],"['nonton', 'baca', 'travelling', 'makan', 'olahraga']",between_50_and_100,Waralaba Makanan dan Minuman Instan
bMgtTEnJOQZiwHuYdfHwvzIvNAx1,TRUE,['kuliner'],"['baca', 'travelling', 'olahraga', 'nonton', 'makan']",under_50,Bisnis Sayuran Organik
xgYXTQyoxVMRJ1nowzEXKdkHdeb2,TRUE,['kuliner'],"['olahraga', 'baca', 'makan', 'travelling', 'nonton']",between_50_and_100,Bisnis Frozen Food
jMMljtOq8iNVk1W94VaUvzyretj1,TRUE,['rumah tangga'],['olahraga'],under_50,Toko Kelontong Online
qSEuSYW81deZ4JLPI64NBN6bRid2,TRUE,['kuliner'],"['baca', 'nonton', 'makan', 'olahraga', 'travelling']",under_50,BIsnis Ayam Potong
z5rxznxCsiSpk7dP6R34llFf4PG2,TRUE,['kuliner'],['nonton'],under_50,Kuliner Rumahan
BFpupzQiCMeDHltfL1Z2qRUUzUa2,TRUE,"['kuliner','kesehatan']","['travelling', 'olahraga', 'makan', 'baca', 'nonton']",under_50,Bisnis Katering Sehat
HBN3alnEjEfmcAyEkkGKLKazG2d2,TRUE,['rumah tangga'],"['travelling', 'olahraga', 'makan', 'baca']",under_50,Bisnis Kado Handmade
6qnLRwWEymPtMDLQi4UZIZ7nKb53,TRUE,['rumah tangga'],"['travelling', 'nonton']",under_50,Bisnis Peralatan Zero Waste
7LdRVxYHFMQTDNuiYNCObsQLsQu2,TRUE,['kesehatan'],"['baca', 'nonton', 'makan', 'travelling', 'olahraga']",under_50,Jual Masker Kesehatan
UrZyV7vQLLW0kiCl0s07165gR3B2,TRUE,"['rumah tangga','kesehatan']","['baca', 'travelling', 'olahraga', 'makan']",under_50,Bisnis Cuci Sepatu
CN2pTnHYwcQQl9dpjbHKPlIqy853,TRUE,['rumah tangga'],"['baca', 'makan']",under_50,Bisnis Sewa Baju Harian
RqD0dtMLUkPakE8lpdDGH2QMyUj1,TRUE,"['kuliner','rumah tangga']","['nonton', 'baca', 'olahraga', 'travelling', 'makan']",above_100,Ternak Ikan
B4SOn0FKraUE559ckEQ321MoVK13,TRUE,['rumah tangga'],"['baca', 'makan']",between_50_and_100,Supplier Gas LPG
QncCY6bB83Y8jWQzzXMrjI7vDTU2,TRUE,['rumah tangga'],"['travelling', 'nonton', 'baca']",between_50_and_100,"Bisnis Fotokopi, ATK, dan Perjilidan"
NstakVZaBPhI1B8oQVlzQ1IVe6S2,TRUE,['rumah tangga'],"['olahraga', 'travelling', 'nonton']",above_100,Bisnis Minimarket
FBkI7oKXtsSStGwViItD6xyRe2s2,TRUE,['kesehatan'],"['olahraga', 'nonton']",above_100,Bisnis Toko Kosmetik
JXmV8xQj5SMAv9LiQsIeaUTrJgN2,TRUE,['rumah tangga'],"['nonton', 'baca']",above_100,Bisnis Properti
jhc0nPdkz4aLsq22XSW5sDHo8702,TRUE,['rumah tangga'],"['makan', 'nonton', 'baca', 'olahraga', 'travelling']",above_100,Bisnis Laundry
BZM4tqAGQ5grRoz12lg1XZVuOsw2,TRUE,['kuliner'],"['travelling', 'nonton', 'olahraga', 'baca']",above_100,Bisnis Coffee Shop
aYJrc8On7wTj2ThCJOLfevj0hb43,TRUE,['kuliner'],"['makan', 'travelling', 'nonton', 'olahraga', 'baca']",between_50_and_100,Bisnis Bakery
7oGI0kIALjNMh3wTqzO6mlz7Jrx2,TRUE,['kesehatan'],"['makan', 'travelling', 'baca', 'olahraga', 'nonton']",above_100,Toko Alat Kesehatan Bandung
GpVWzeMtRnhPhgppviP2wdDpxUl2,TRUE,['kesehatan'],['olahraga'],above_100,Gilbert Medical
TVZnEEhoKATT4ShFaRA3FHAVjpC2,TRUE,['kesehatan'],"['baca', 'olahraga', 'nonton']",above_100,Medicalogy
juyoAAOyhYgreSS6ndZrooBRHqf1,TRUE,"['rumah tangga','kesehatan']","['travelling', 'makan', 'nonton', 'olahraga', 'baca']",above_100,Mediacare (Media Homecare) Bandung
uVDPmwwc2AhGE3WTvPAeYZIzZ7h2,TRUE,"['kuliner','rumah tangga','kesehatan']","['makan', 'nonton', 'baca']",between_50_and_100,Reseller Produk Original
TOnWAvRxREaPVxHggr38e1Kktw93,TRUE,['kuliner'],"['nonton', 'makan']",under_50,Bisnis Bakso
72cAAF7aVUOO62TrhMHnve6d9fi2,TRUE,"['kuliner','kesehatan']","['olahraga', 'nonton']",under_50,Bisnis Minuman Herbal
anDO0XfzuogRBGprm7HkNRS0rWT2,TRUE,['rumah tangga'],"['travelling', 'makan']",between_50_and_100,Bisnis Dekorasi Rumah
TAMilvsjcHREyiiau5DD8Vy0sz63,TRUE,"['kuliner','kesehatan']","['olahraga', 'baca', 'nonton']",under_50,Bisnis Makanan Diet
x2VsweUe9mPN2u4QMT8b5371qu43,TRUE,['rumah tangga'],"['makan', 'nonton', 'baca', 'travelling', 'olahraga']",under_50,Bisnis Thrift Shop
QC5wTLhbLwX05OBMz3VqgPNdP4D3,TRUE,['rumah tangga'],"['baca', 'nonton', 'olahraga']",between_50_and_100,Toko Mainan Cijerah
