videoId,title,genres,metaData
JPeZlL4HJfU,8 IDE JUALAN MAKANAN FROZEN FOOD KEKINIAN || TIPS CARA MENYIMPAN AGAR TAHAN BERBULAN-BULAN,['ide bisnis frozen food'],"{'kind': 'youtube#searchResult', 'etag': '6NEEITigMBAA0Zume1KwfAAXwU0', 'id': {'kind': 'youtube#video', 'videoId': 'JPeZlL4HJfU'}, 'snippet': {'publishedAt': '2021-04-11T12:00:07Z', 'channelId': 'UCVYzCXthhHtwJDlsqSfoHLQ', 'title': '8 IDE JUALAN MAKANAN FROZEN FOOD KEKINIAN || TIPS CARA MENYIMPAN AGAR TAHAN BERBULAN-BULAN', 'description': 'Hay semuanya.. Terimaksih sudah menonton video ini, jangan lupa SUBSCRIBE dan klik tombol loncengnya ya.. Agar kalian ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/JPeZlL4HJfU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JPeZlL4HJfU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JPeZlL4HJfU/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Dapur Riara', 'liveBroadcastContent': 'none', 'publishTime': '2021-04-11T12:00:07Z'}}"
HcyeaHxtVpg,TIPS MEMULAI BISNIS FROZEN FOOD,['ide bisnis frozen food'],"{'kind': 'youtube#searchResult', 'etag': 'VwTJwIwIUbZTp3EGjFxRLKTOphI', 'id': {'kind': 'youtube#video', 'videoId': 'HcyeaHxtVpg'}, 'snippet': {'publishedAt': '2020-12-08T05:00:11Z', 'channelId': 'UCRPyC-1EkZuqm_-7-qK4yQA', 'title': 'TIPS MEMULAI BISNIS FROZEN FOOD', 'description': 'Video kali ini tentang tips memulai bisnis frozen food. Tidak sedikit orang yang kini menaruh minat untuk membeli frozen food, ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/HcyeaHxtVpg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/HcyeaHxtVpg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/HcyeaHxtVpg/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Belajar Berbisnis', 'liveBroadcastContent': 'none', 'publishTime': '2020-12-08T05:00:11Z'}}"
VMLngvPpuVA,Enak &amp; Praktis !!! Bisa Tahan Berminggu - Minggu.. Ide Bisnis Frozen Food Buat Buka Usaha Rumahan.,['ide bisnis frozen food'],"{'kind': 'youtube#searchResult', 'etag': 'H-BYup-hDslafYmnrLjcTZAmtQI', 'id': {'kind': 'youtube#video', 'videoId': 'VMLngvPpuVA'}, 'snippet': {'publishedAt': '2021-01-31T12:29:49Z', 'channelId': 'UCd1g7tWmj5riG2qS5H5NQeg', 'title': 'Enak &amp; Praktis !!! Bisa Tahan Berminggu - Minggu.. Ide Bisnis Frozen Food Buat Buka Usaha Rumahan.', 'description': ""Assalamu'allaikum Wr. Wb. Hallo selamat datang di channel AYUKK KULINER. Disini saya akan membagikan resep-resep yang ..."", 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/VMLngvPpuVA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/VMLngvPpuVA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/VMLngvPpuVA/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'ayukk kuliner', 'liveBroadcastContent': 'none', 'publishTime': '2021-01-31T12:29:49Z'}}"
KJrRRbu4aBE,"Bisnis Frozen Food 2022,Untung Bisa Ratusan Juta Perbulan",['ide bisnis frozen food'],"{'kind': 'youtube#searchResult', 'etag': 'hsHuFwu6s2Xbgfltfzvnt2r9iFI', 'id': {'kind': 'youtube#video', 'videoId': 'KJrRRbu4aBE'}, 'snippet': {'publishedAt': '2022-06-01T11:05:14Z', 'channelId': 'UCYyPgRVawy23XDKbsEkingQ', 'title': 'Bisnis Frozen Food 2022,Untung Bisa Ratusan Juta Perbulan', 'description': 'tips memulai bisnis Frozen food 2022.frozen food merupakan bisnis yang sangat menjanjikan keuntungan berlipat lipat ganda ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/KJrRRbu4aBE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KJrRRbu4aBE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KJrRRbu4aBE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'MiSS LEi CHANNEL', 'liveBroadcastContent': 'none', 'publishTime': '2022-06-01T11:05:14Z'}}"
reeDm_UdZPY,"FROZEN FOOD MODAL KECIL! OWNERNYA IMUT, OMSETNYA130JUTA PERBULAN",['ide bisnis frozen food'],"{'kind': 'youtube#searchResult', 'etag': 'p4iL66pfVgE--oM8MOmIVlsmCwo', 'id': {'kind': 'youtube#video', 'videoId': 'reeDm_UdZPY'}, 'snippet': {'publishedAt': '2019-08-18T14:01:52Z', 'channelId': 'UCnBbolAKpFYQqEG7LkD67CA', 'title': 'FROZEN FOOD MODAL KECIL! OWNERNYA IMUT, OMSETNYA130JUTA PERBULAN', 'description': 'FROZEN FOOD MODAL KECIL! OWNERNYA MASIH KECIL OMSET 130JUTA PERBULAN ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/reeDm_UdZPY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/reeDm_UdZPY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/reeDm_UdZPY/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Tom MC Ifle', 'liveBroadcastContent': 'none', 'publishTime': '2019-08-18T14:01:52Z'}}"
hTS1UAZD4gA,6 IDE JUALAN FROZEN FOOD PALING LARIS MODAL KECIL,['ide bisnis frozen food'],"{'kind': 'youtube#searchResult', 'etag': 'sHu_eoBzGcd_I-ivpV_i2PsdcrI', 'id': {'kind': 'youtube#video', 'videoId': 'hTS1UAZD4gA'}, 'snippet': {'publishedAt': '2021-11-27T12:00:32Z', 'channelId': 'UCVlEaCedNLaSPrxayf0q6eQ', 'title': '6 IDE JUALAN FROZEN FOOD PALING LARIS MODAL KECIL', 'description': 'idejualan #jualanfrozenfood #idejualanfrozenfood Ada banyak jenis produk frozen food, Jika kamu masih belum memiliki ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/hTS1UAZD4gA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hTS1UAZD4gA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hTS1UAZD4gA/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Bisnis Bagus', 'liveBroadcastContent': 'none', 'publishTime': '2021-11-27T12:00:32Z'}}"
pfpOPtTXgq8,IDE BISNIS FROZEN FOOD AWET 3 BULAN ANTI BANGKRUT,['ide bisnis frozen food'],"{'kind': 'youtube#searchResult', 'etag': 'owb5O0Hs9XYeNYwB7CP64wu2BWM', 'id': {'kind': 'youtube#video', 'videoId': 'pfpOPtTXgq8'}, 'snippet': {'publishedAt': '2019-07-11T05:02:08Z', 'channelId': 'UCjnOFul-H05jr8Smm3UN6tw', 'title': 'IDE BISNIS FROZEN FOOD AWET 3 BULAN ANTI BANGKRUT', 'description': 'FROZEN FOOD atau makanan beku ini selalu banyak di minati orang2 karena dengan simpel untuk dikonsumsi setiap hari dan ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/pfpOPtTXgq8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pfpOPtTXgq8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pfpOPtTXgq8/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'agus cuguy', 'liveBroadcastContent': 'none', 'publishTime': '2019-07-11T05:02:08Z'}}"
MEdw7g01kMQ,IDE BISNIS FROZEN FOOD !! HEKENG PALING PREMIUM ALA WAIS ALQORNI ‼️ DIJAMIN LARIS MANIS,['ide bisnis frozen food'],"{'kind': 'youtube#searchResult', 'etag': 'bQ2hIUo0XXLdt28pzsdfN0-AxTk', 'id': {'kind': 'youtube#video', 'videoId': 'MEdw7g01kMQ'}, 'snippet': {'publishedAt': '2021-03-20T12:00:05Z', 'channelId': 'UCibJ7mAiaGM8oryuJQPjIPw', 'title': 'IDE BISNIS FROZEN FOOD !! HEKENG PALING PREMIUM ALA WAIS ALQORNI ‼️ DIJAMIN LARIS MANIS', 'description': 'Assalamualaikum Hay semuanyaaaa apa kabar nih tmn tmn semoga sehat terus yaaa, jasmani dan ruhaninya ✓ aamiin ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/MEdw7g01kMQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/MEdw7g01kMQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/MEdw7g01kMQ/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Wais Alqorni', 'liveBroadcastContent': 'none', 'publishTime': '2021-03-20T12:00:05Z'}}"
pOq36evP80w,YANG SIMPEL LAGI EKONOMIS!! IDE BISNIS FROZEN FOOD. WAJIH DINCOBA! JUAL SERIBUAN AJA !! AUTO LARISSS,['ide bisnis frozen food'],"{'kind': 'youtube#searchResult', 'etag': 'Z9kGrCL5jIuHD3RC-omwhKylZ7U', 'id': {'kind': 'youtube#video', 'videoId': 'pOq36evP80w'}, 'snippet': {'publishedAt': '2021-12-26T12:51:00Z', 'channelId': 'UC9AQ1_k20JNIze_7NOZ30Cw', 'title': 'YANG SIMPEL LAGI EKONOMIS!! IDE BISNIS FROZEN FOOD. WAJIH DINCOBA! JUAL SERIBUAN AJA !! AUTO LARISSS', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/pOq36evP80w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pOq36evP80w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pOq36evP80w/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Dena Aprilina', 'liveBroadcastContent': 'none', 'publishTime': '2021-12-26T12:51:00Z'}}"
vqiDmDHq4II,IDE BISNIS ANTI BANGKRUT DARI TAHU PUTIH BISA TAHAN 3 BULAN,['ide bisnis frozen food'],"{'kind': 'youtube#searchResult', 'etag': 'Pwq9GILvW8bu1a0MKJ3ezSTX9Cg', 'id': {'kind': 'youtube#video', 'videoId': 'vqiDmDHq4II'}, 'snippet': {'publishedAt': '2021-05-24T04:00:58Z', 'channelId': 'UCjnOFul-H05jr8Smm3UN6tw', 'title': 'IDE BISNIS ANTI BANGKRUT DARI TAHU PUTIH BISA TAHAN 3 BULAN', 'description': 'agus cuguy tahu putih dibikin kreasi baru kita jadikan ide bisnis frozenfood dengan ketahanan 3- 4 bulan dalam prezer jadi ga ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/vqiDmDHq4II/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vqiDmDHq4II/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vqiDmDHq4II/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'agus cuguy', 'liveBroadcastContent': 'none', 'publishTime': '2021-05-24T04:00:58Z'}}"
