videoId,title,metaData
gGAA5gxzRoE,Kerangka Ideal Belajar Digital Marketing Untuk Pemula,"{'kind': 'youtube#searchResult', 'etag': 'ZKZuidpm49S75izFGB8zzTcvMYo', 'id': {'kind': 'youtube#video', 'videoId': 'gGAA5gxzRoE'}, 'snippet': {'publishedAt': '2020-09-07T09:43:50Z', 'channelId': 'UCi3SFlzMRkyqaNpQyVhvXZA', 'title': 'Kerangka Ideal Belajar Digital Marketing Untuk Pemula', 'description': 'Di video ini saya membicarakan kerangka belajar digital marketing untuk pemula. Ada 3 fase yang Anda perlu pahami yaitu: Build ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/gGAA5gxzRoE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gGAA5gxzRoE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gGAA5gxzRoE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'DennySantoso', 'liveBroadcastContent': 'none', 'publishTime': '2020-09-07T09:43:50Z'}}"
vV_FAwiQX6c,APA ITU DIGITAL MARKETING SEBENARNYA?,"{'kind': 'youtube#searchResult', 'etag': 'LRMi1IYE1eRlZ0veG_Qi7WFW880', 'id': {'kind': 'youtube#video', 'videoId': 'vV_FAwiQX6c'}, 'snippet': {'publishedAt': '2022-05-06T10:00:35Z', 'channelId': 'UCx-9wWeG3YcqxXKXxOn3wMA', 'title': 'APA ITU DIGITAL MARKETING SEBENARNYA?', 'description': 'Tips bisnis kali ini membahas tentang apa itu Digital Marketing sebenarnya. Penasaran? Yuk langsung aja, tonton videonya ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/vV_FAwiQX6c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vV_FAwiQX6c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vV_FAwiQX6c/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Dewa Eka Prayoga', 'liveBroadcastContent': 'none', 'publishTime': '2022-05-06T10:00:35Z'}}"
evyIJL8_1XE,#BCTalk - Digital Marketing for Beginners,"{'kind': 'youtube#searchResult', 'etag': 'WltWKOBSXk6YYiCTfv6SUKeSr6Y', 'id': {'kind': 'youtube#video', 'videoId': 'evyIJL8_1XE'}, 'snippet': {'publishedAt': '2020-05-16T11:20:42Z', 'channelId': 'UCsHbQOFBb5YWyLqYmeHFgfA', 'title': '#BCTalk - Digital Marketing for Beginners', 'description': 'Pada sesi #BCTalk ini, Janet Valentina - Digital Manager Mindshare Indonesia berbagi mengenai dasar- dasar Digital Marketing ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/evyIJL8_1XE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/evyIJL8_1XE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/evyIJL8_1XE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'hrdbacot', 'liveBroadcastContent': 'none', 'publishTime': '2020-05-16T11:20:42Z'}}"
tpYYIC3j0NQ,"Pakai Digital Marketing Sudah Wajib, Pahami Komponennya - ANALISIS #1","{'kind': 'youtube#searchResult', 'etag': 'hhpPNN3NTj02M86-hr6e_-2W3-A', 'id': {'kind': 'youtube#video', 'videoId': 'tpYYIC3j0NQ'}, 'snippet': {'publishedAt': '2022-01-17T05:00:15Z', 'channelId': 'UC4OPXGhLI6seUqeYOaUABaw', 'title': 'Pakai Digital Marketing Sudah Wajib, Pahami Komponennya - ANALISIS #1', 'description': 'Digital marketing menjadi satu topik yang banyak diperbincangkan di era kekinian, khususnya sejak pandemi COVID-19 merebak ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/tpYYIC3j0NQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tpYYIC3j0NQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tpYYIC3j0NQ/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Marketeers TV', 'liveBroadcastContent': 'none', 'publishTime': '2022-01-17T05:00:15Z'}}"
rFfkVLO90XE,Trend &amp; Fakta Digital Marketing 2022,"{'kind': 'youtube#searchResult', 'etag': 'twzbvFgL9h3Encl1mHZG9DDDraM', 'id': {'kind': 'youtube#video', 'videoId': 'rFfkVLO90XE'}, 'snippet': {'publishedAt': '2022-01-17T10:00:24Z', 'channelId': 'UClHxQuDHGeLMDw1vnASYQVw', 'title': 'Trend &amp; Fakta Digital Marketing 2022', 'description': 'Buat Anda yang jualan online, bisa mengejar target jangka pendek dengan mengikuti trend digital marketing tahun 2022 ini.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/rFfkVLO90XE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rFfkVLO90XE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rFfkVLO90XE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Handoko Tantra', 'liveBroadcastContent': 'none', 'publishTime': '2022-01-17T10:00:24Z'}}"
1w8OYX0iVzM,DIGITAL MARKETING,"{'kind': 'youtube#searchResult', 'etag': 'fHgYrVXbtEh4LIXeelU3V62D9oA', 'id': {'kind': 'youtube#video', 'videoId': '1w8OYX0iVzM'}, 'snippet': {'publishedAt': '2020-09-02T14:32:48Z', 'channelId': 'UCx-9wWeG3YcqxXKXxOn3wMA', 'title': 'DIGITAL MARKETING', 'description': 'Live kali ini saya mau ngebahas tentang Digital Marketing secara global. Setidaknya, ini bisa memberikan gambaran buat Anda ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/1w8OYX0iVzM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1w8OYX0iVzM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1w8OYX0iVzM/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Dewa Eka Prayoga', 'liveBroadcastContent': 'none', 'publishTime': '2020-09-02T14:32:48Z'}}"
XSF02iR-lIY,Cara Membangun Bisnis Online - Rahasia Jago Digital Marketing dengan 7 Skill ini!,"{'kind': 'youtube#searchResult', 'etag': 'n6Mfn5UJM6JIH7J3c-ZiRkL8x1Y', 'id': {'kind': 'youtube#video', 'videoId': 'XSF02iR-lIY'}, 'snippet': {'publishedAt': '2021-09-03T11:47:49Z', 'channelId': 'UCi3SFlzMRkyqaNpQyVhvXZA', 'title': 'Cara Membangun Bisnis Online - Rahasia Jago Digital Marketing dengan 7 Skill ini!', 'description': 'Di video kali ini saya membahas cara membangun bisnis online untuk pemula dengan digital marketing. Maka dari itu, video ini ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/XSF02iR-lIY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XSF02iR-lIY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XSF02iR-lIY/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'DennySantoso', 'liveBroadcastContent': 'none', 'publishTime': '2021-09-03T11:47:49Z'}}"
S8n2XhSYOJ0,Ini Dia Prediksi Karir &amp; Trend Digital Marketing di Tahun 2022,"{'kind': 'youtube#searchResult', 'etag': 'e4jvZHQ375QNw2AEG7541Jl8uFU', 'id': {'kind': 'youtube#video', 'videoId': 'S8n2XhSYOJ0'}, 'snippet': {'publishedAt': '2021-09-29T10:30:34Z', 'channelId': 'UCzDNsDnN55mXW65zSGAnHeQ', 'title': 'Ini Dia Prediksi Karir &amp; Trend Digital Marketing di Tahun 2022', 'description': 'DigitalMarketing tentunya sudah menjadi bagian yang tidak bisa terlepaskan bagi banyak perusahaan saat ini. Sekarang ini ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/S8n2XhSYOJ0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/S8n2XhSYOJ0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/S8n2XhSYOJ0/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Purwadhika Digital Technology School', 'liveBroadcastContent': 'none', 'publishTime': '2021-09-29T10:30:34Z'}}"
tflSzfzAKtE,"Contoh Digital Marketing, 6 Strategi Pemasaran Digital untuk Bisnis","{'kind': 'youtube#searchResult', 'etag': '771UasF-7f1GhkTfOeHiKrihn_A', 'id': {'kind': 'youtube#video', 'videoId': 'tflSzfzAKtE'}, 'snippet': {'publishedAt': '2021-04-26T23:26:07Z', 'channelId': 'UCm3etYF7aATJek4_2086wgw', 'title': 'Contoh Digital Marketing, 6 Strategi Pemasaran Digital untuk Bisnis', 'description': 'Dalam video membaca blog Satelitweb kali ini, Devina akan membawakan contoh digital marketing, 6 strategi pemasaran digital ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/tflSzfzAKtE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tflSzfzAKtE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tflSzfzAKtE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'satelitweb', 'liveBroadcastContent': 'none', 'publishTime': '2021-04-26T23:26:07Z'}}"
A6aN1dYo5QA,"Apa itu Digital Marketing? Bedanya dengan online marketing, 3 jenis, dan spesialisasi pekerjaannya","{'kind': 'youtube#searchResult', 'etag': 'rdgshlgwYzIjVqrPIMUspPfdfBw', 'id': {'kind': 'youtube#video', 'videoId': 'A6aN1dYo5QA'}, 'snippet': {'publishedAt': '2020-10-12T08:30:00Z', 'channelId': 'UC3StFFBdWVHQEAOLPAHiQOg', 'title': 'Apa itu Digital Marketing? Bedanya dengan online marketing, 3 jenis, dan spesialisasi pekerjaannya', 'description': 'Perkenalan Digital Marketing Dalam video Career Insight berikut ini membahas lebih dalam mengenai digital marketing.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/A6aN1dYo5QA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/A6aN1dYo5QA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/A6aN1dYo5QA/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'EKRUT', 'liveBroadcastContent': 'none', 'publishTime': '2020-10-12T08:30:00Z'}}"
