videoId,title,metaData
gGAA5gxzRoE,Kerangka Ideal Belajar Digital Marketing Untuk Pemula,"{'kind': 'youtube#searchResult', 'etag': 'ZKZuidpm49S75izFGB8zzTcvMYo', 'id': {'kind': 'youtube#video', 'videoId': 'gGAA5gxzRoE'}, 'snippet': {'publishedAt': '2020-09-07T09:43:50Z', 'channelId': 'UCi3SFlzMRkyqaNpQyVhvXZA', 'title': 'Kerangka Ideal Belajar Digital Marketing Untuk Pemula', 'description': 'Di video ini saya membicarakan kerangka belajar digital marketing untuk pemula. Ada 3 fase yang Anda perlu pahami yaitu: Build ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/gGAA5gxzRoE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gGAA5gxzRoE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gGAA5gxzRoE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'DennySantoso', 'liveBroadcastContent': 'none', 'publishTime': '2020-09-07T09:43:50Z'}}"
vV_FAwiQX6c,APA ITU DIGITAL MARKETING SEBENARNYA?,"{'kind': 'youtube#searchResult', 'etag': 'LRMi1IYE1eRlZ0veG_Qi7WFW880', 'id': {'kind': 'youtube#video', 'videoId': 'vV_FAwiQX6c'}, 'snippet': {'publishedAt': '2022-05-06T10:00:35Z', 'channelId': 'UCx-9wWeG3YcqxXKXxOn3wMA', 'title': 'APA ITU DIGITAL MARKETING SEBENARNYA?', 'description': 'Tips bisnis kali ini membahas tentang apa itu Digital Marketing sebenarnya. Penasaran? Yuk langsung aja, tonton videonya ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/vV_FAwiQX6c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vV_FAwiQX6c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vV_FAwiQX6c/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Dewa Eka Prayoga', 'liveBroadcastContent': 'none', 'publishTime': '2022-05-06T10:00:35Z'}}"
evyIJL8_1XE,#BCTalk - Digital Marketing for Beginners,"{'kind': 'youtube#searchResult', 'etag': 'WltWKOBSXk6YYiCTfv6SUKeSr6Y', 'id': {'kind': 'youtube#video', 'videoId': 'evyIJL8_1XE'}, 'snippet': {'publishedAt': '2020-05-16T11:20:42Z', 'channelId': 'UCsHbQOFBb5YWyLqYmeHFgfA', 'title': '#BCTalk - Digital Marketing for Beginners', 'description': 'Pada sesi #BCTalk ini, Janet Valentina - Digital Manager Mindshare Indonesia berbagi mengenai dasar- dasar Digital Marketing ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/evyIJL8_1XE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/evyIJL8_1XE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/evyIJL8_1XE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'hrdbacot', 'liveBroadcastContent': 'none', 'publishTime': '2020-05-16T11:20:42Z'}}"
T0Ymp3LWHqU,A SEGUNDA REVOLUÇÃO DO MARKETING DIGITAL | 1ª PARTE,"{'kind': 'youtube#searchResult', 'etag': 'agDujgyqS13bjSqOBS_2pzlkVoE', 'id': {'kind': 'youtube#video', 'videoId': 'T0Ymp3LWHqU'}, 'snippet': {'publishedAt': '2022-04-29T21:11:50Z', 'channelId': 'UCWnPYXKHjlV3tvQM7iKgGaA', 'title': 'A SEGUNDA REVOLUÇÃO DO MARKETING DIGITAL | 1ª PARTE', 'description': 'ESSA É A 1ª PARTE DA SEGUNDA REVOLUÇÃO DO MARKETING DIGITAL - INSCREVA-SE: [link da página de inscrição] A ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/T0Ymp3LWHqU/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/T0Ymp3LWHqU/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/T0Ymp3LWHqU/hqdefault_live.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Erico Rocha', 'liveBroadcastContent': 'upcoming', 'publishTime': '2022-04-29T21:11:50Z'}}"
tpYYIC3j0NQ,"Pakai Digital Marketing Sudah Wajib, Pahami Komponennya - ANALISIS #1","{'kind': 'youtube#searchResult', 'etag': 'hhpPNN3NTj02M86-hr6e_-2W3-A', 'id': {'kind': 'youtube#video', 'videoId': 'tpYYIC3j0NQ'}, 'snippet': {'publishedAt': '2022-01-17T05:00:15Z', 'channelId': 'UC4OPXGhLI6seUqeYOaUABaw', 'title': 'Pakai Digital Marketing Sudah Wajib, Pahami Komponennya - ANALISIS #1', 'description': 'Digital marketing menjadi satu topik yang banyak diperbincangkan di era kekinian, khususnya sejak pandemi COVID-19 merebak ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/tpYYIC3j0NQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tpYYIC3j0NQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tpYYIC3j0NQ/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Marketeers TV', 'liveBroadcastContent': 'none', 'publishTime': '2022-01-17T05:00:15Z'}}"
Ond2HGdrFc4,STRATEGI DIGITAL MARKETING 2021 (LEBIH EXTREME DARI SEBELUMNYA),"{'kind': 'youtube#searchResult', 'etag': 'bAdkcNkEL-k_xC2nLgPMTRtKGyE', 'id': {'kind': 'youtube#video', 'videoId': 'Ond2HGdrFc4'}, 'snippet': {'publishedAt': '2021-01-01T13:00:07Z', 'channelId': 'UCx-9wWeG3YcqxXKXxOn3wMA', 'title': 'STRATEGI DIGITAL MARKETING 2021 (LEBIH EXTREME DARI SEBELUMNYA)', 'description': 'Tips bisnis kali ini membahas tentang Strategi Digital Marketing 2021. Apa yang perlu diperhatikan di tahun 2021 agar bisnis kita ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Ond2HGdrFc4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Ond2HGdrFc4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Ond2HGdrFc4/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Dewa Eka Prayoga', 'liveBroadcastContent': 'none', 'publishTime': '2021-01-01T13:00:07Z'}}"
rFfkVLO90XE,Trend &amp; Fakta Digital Marketing 2022,"{'kind': 'youtube#searchResult', 'etag': 'twzbvFgL9h3Encl1mHZG9DDDraM', 'id': {'kind': 'youtube#video', 'videoId': 'rFfkVLO90XE'}, 'snippet': {'publishedAt': '2022-01-17T10:00:24Z', 'channelId': 'UClHxQuDHGeLMDw1vnASYQVw', 'title': 'Trend &amp; Fakta Digital Marketing 2022', 'description': 'Buat Anda yang jualan online, bisa mengejar target jangka pendek dengan mengikuti trend digital marketing tahun 2022 ini.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/rFfkVLO90XE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rFfkVLO90XE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rFfkVLO90XE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Handoko Tantra', 'liveBroadcastContent': 'none', 'publishTime': '2022-01-17T10:00:24Z'}}"
tflSzfzAKtE,"Contoh Digital Marketing, 6 Strategi Pemasaran Digital untuk Bisnis","{'kind': 'youtube#searchResult', 'etag': '771UasF-7f1GhkTfOeHiKrihn_A', 'id': {'kind': 'youtube#video', 'videoId': 'tflSzfzAKtE'}, 'snippet': {'publishedAt': '2021-04-26T23:26:07Z', 'channelId': 'UCm3etYF7aATJek4_2086wgw', 'title': 'Contoh Digital Marketing, 6 Strategi Pemasaran Digital untuk Bisnis', 'description': 'Dalam video membaca blog Satelitweb kali ini, Devina akan membawakan contoh digital marketing, 6 strategi pemasaran digital ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/tflSzfzAKtE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tflSzfzAKtE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tflSzfzAKtE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'satelitweb', 'liveBroadcastContent': 'none', 'publishTime': '2021-04-26T23:26:07Z'}}"
2wKJwOircyU,Belajar Digital Marketing untuk Pemula + BONUS Ebook Gratis,"{'kind': 'youtube#searchResult', 'etag': 'xx42ziahUPUhrn9x5FrjfNx3bKY', 'id': {'kind': 'youtube#video', 'videoId': '2wKJwOircyU'}, 'snippet': {'publishedAt': '2020-02-24T09:26:21Z', 'channelId': 'UCEj5t40X7DDIptSCsm4cryw', 'title': 'Belajar Digital Marketing untuk Pemula + BONUS Ebook Gratis', 'description': 'Digital marketing itu bukan cuma soal promosi di media sosial. Ada banyak strategi digital marketing yang bisa kamu pakai untuk ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/2wKJwOircyU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2wKJwOircyU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2wKJwOircyU/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Niagahoster Indonesia', 'liveBroadcastContent': 'none', 'publishTime': '2020-02-24T09:26:21Z'}}"
S8n2XhSYOJ0,Ini Dia Prediksi Karir &amp; Trend Digital Marketing di Tahun 2022,"{'kind': 'youtube#searchResult', 'etag': 'QwMWvOmCg3NgP3txTXGatU5ezEA', 'id': {'kind': 'youtube#video', 'videoId': 'S8n2XhSYOJ0'}, 'snippet': {'publishedAt': '2021-09-29T10:30:34Z', 'channelId': 'UCzDNsDnN55mXW65zSGAnHeQ', 'title': 'Ini Dia Prediksi Karir &amp; Trend Digital Marketing di Tahun 2022', 'description': 'DigitalMarketing tentunya sudah menjadi bagian yang tidak bisa terlepaskan bagi banyak perusahaan saat ini. Sekarang ini ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/S8n2XhSYOJ0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/S8n2XhSYOJ0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/S8n2XhSYOJ0/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Purwadhika Digital Technology School', 'liveBroadcastContent': 'none', 'publishTime': '2021-09-29T10:30:34Z'}}"
