videoId,metaData,viewCount,likeCount,commentCount
gGAA5gxzRoE,"{'kind': 'youtube#searchResult', 'etag': 'ZKZuidpm49S75izFGB8zzTcvMYo', 'id': {'kind': 'youtube#video', 'videoId': 'gGAA5gxzRoE'}, 'snippet': {'publishedAt': '2020-09-07T09:43:50Z', 'channelId': 'UCi3SFlzMRkyqaNpQyVhvXZA', 'title': 'Kerangka Ideal Belajar Digital Marketing Untuk Pemula', 'description': 'Di video ini saya membicarakan kerangka belajar digital marketing untuk pemula. Ada 3 fase yang Anda perlu pahami yaitu: Build ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/gGAA5gxzRoE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gGAA5gxzRoE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gGAA5gxzRoE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'DennySantoso', 'liveBroadcastContent': 'none', 'publishTime': '2020-09-07T09:43:50Z'}}",271287,8931,8931
vV_FAwiQX6c,"{'kind': 'youtube#searchResult', 'etag': 'LRMi1IYE1eRlZ0veG_Qi7WFW880', 'id': {'kind': 'youtube#video', 'videoId': 'vV_FAwiQX6c'}, 'snippet': {'publishedAt': '2022-05-06T10:00:35Z', 'channelId': 'UCx-9wWeG3YcqxXKXxOn3wMA', 'title': 'APA ITU DIGITAL MARKETING SEBENARNYA?', 'description': 'Tips bisnis kali ini membahas tentang apa itu Digital Marketing sebenarnya. Penasaran? Yuk langsung aja, tonton videonya ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/vV_FAwiQX6c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vV_FAwiQX6c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vV_FAwiQX6c/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Dewa Eka Prayoga', 'liveBroadcastContent': 'none', 'publishTime': '2022-05-06T10:00:35Z'}}",6754,472,472
evyIJL8_1XE,"{'kind': 'youtube#searchResult', 'etag': 'WltWKOBSXk6YYiCTfv6SUKeSr6Y', 'id': {'kind': 'youtube#video', 'videoId': 'evyIJL8_1XE'}, 'snippet': {'publishedAt': '2020-05-16T11:20:42Z', 'channelId': 'UCsHbQOFBb5YWyLqYmeHFgfA', 'title': '#BCTalk - Digital Marketing for Beginners', 'description': 'Pada sesi #BCTalk ini, Janet Valentina - Digital Manager Mindshare Indonesia berbagi mengenai dasar- dasar Digital Marketing ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/evyIJL8_1XE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/evyIJL8_1XE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/evyIJL8_1XE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'hrdbacot', 'liveBroadcastContent': 'none', 'publishTime': '2020-05-16T11:20:42Z'}}",40780,1669,1669
T0Ymp3LWHqU,"{'kind': 'youtube#searchResult', 'etag': 'I_LNwpwQUJJq7WQPGv2TeulKU6M', 'id': {'kind': 'youtube#video', 'videoId': 'T0Ymp3LWHqU'}, 'snippet': {'publishedAt': '2022-04-29T21:11:50Z', 'channelId': 'UCWnPYXKHjlV3tvQM7iKgGaA', 'title': 'A SEGUNDA REVOLUÇÃO DO MARKETING DIGITAL | AULA 1', 'description': 'ESSA É A AULA 1 DA SEGUNDA REVOLUÇÃO DO MARKETING DIGITAL - INSCREVA-SE: [link da página de inscrição] A ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/T0Ymp3LWHqU/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/T0Ymp3LWHqU/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/T0Ymp3LWHqU/hqdefault_live.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Erico Rocha', 'liveBroadcastContent': 'upcoming', 'publishTime': '2022-04-29T21:11:50Z'}}",0,63,63
S8n2XhSYOJ0,"{'kind': 'youtube#searchResult', 'etag': 'QwMWvOmCg3NgP3txTXGatU5ezEA', 'id': {'kind': 'youtube#video', 'videoId': 'S8n2XhSYOJ0'}, 'snippet': {'publishedAt': '2021-09-29T10:30:34Z', 'channelId': 'UCzDNsDnN55mXW65zSGAnHeQ', 'title': 'Ini Dia Prediksi Karir &amp; Trend Digital Marketing di Tahun 2022', 'description': 'DigitalMarketing tentunya sudah menjadi bagian yang tidak bisa terlepaskan bagi banyak perusahaan saat ini. Sekarang ini ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/S8n2XhSYOJ0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/S8n2XhSYOJ0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/S8n2XhSYOJ0/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Purwadhika Digital Technology School', 'liveBroadcastContent': 'none', 'publishTime': '2021-09-29T10:30:34Z'}}",24789,881,881
rFfkVLO90XE,"{'kind': 'youtube#searchResult', 'etag': 'twzbvFgL9h3Encl1mHZG9DDDraM', 'id': {'kind': 'youtube#video', 'videoId': 'rFfkVLO90XE'}, 'snippet': {'publishedAt': '2022-01-17T10:00:24Z', 'channelId': 'UClHxQuDHGeLMDw1vnASYQVw', 'title': 'Trend &amp; Fakta Digital Marketing 2022', 'description': 'Buat Anda yang jualan online, bisa mengejar target jangka pendek dengan mengikuti trend digital marketing tahun 2022 ini.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/rFfkVLO90XE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rFfkVLO90XE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rFfkVLO90XE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Handoko Tantra', 'liveBroadcastContent': 'none', 'publishTime': '2022-01-17T10:00:24Z'}}",3919,116,116
Ond2HGdrFc4,"{'kind': 'youtube#searchResult', 'etag': 'bAdkcNkEL-k_xC2nLgPMTRtKGyE', 'id': {'kind': 'youtube#video', 'videoId': 'Ond2HGdrFc4'}, 'snippet': {'publishedAt': '2021-01-01T13:00:07Z', 'channelId': 'UCx-9wWeG3YcqxXKXxOn3wMA', 'title': 'STRATEGI DIGITAL MARKETING 2021 (LEBIH EXTREME DARI SEBELUMNYA)', 'description': 'Tips bisnis kali ini membahas tentang Strategi Digital Marketing 2021. Apa yang perlu diperhatikan di tahun 2021 agar bisnis kita ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Ond2HGdrFc4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Ond2HGdrFc4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Ond2HGdrFc4/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Dewa Eka Prayoga', 'liveBroadcastContent': 'none', 'publishTime': '2021-01-01T13:00:07Z'}}",128410,2906,2906
c5tIBR32_LY,"{'kind': 'youtube#searchResult', 'etag': 'vVUQ7OqNYIc86vtkhzFhb-HREdI', 'id': {'kind': 'youtube#video', 'videoId': 'c5tIBR32_LY'}, 'snippet': {'publishedAt': '2021-05-07T09:56:01Z', 'channelId': 'UCi3SFlzMRkyqaNpQyVhvXZA', 'title': 'Belajar Fundamental Digital Marketing - Bikin Customer Journey yang Fun', 'description': 'Di video kali ini saya membagikan kerangka dasar belajar digital marketing untuk pemula dalam menjalankan bisnis onlinenya.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/c5tIBR32_LY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/c5tIBR32_LY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/c5tIBR32_LY/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'DennySantoso', 'liveBroadcastContent': 'none', 'publishTime': '2021-05-07T09:56:01Z'}}",19510,750,750
bixR-KIJKYM,"{'kind': 'youtube#searchResult', 'etag': 'acNzzfe0qSojZmu1uzoSU_zEtnM', 'id': {'kind': 'youtube#video', 'videoId': 'bixR-KIJKYM'}, 'snippet': {'publishedAt': '2020-09-23T15:30:02Z', 'channelId': 'UCsvqVGtbbyHaMoevxPAq9Fg', 'title': 'Digital Marketing In 5 Minutes | What Is Digital Marketing? | Learn Digital Marketing | Simplilearn', 'description': 'Free Digital Marketing course: ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/bixR-KIJKYM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/bixR-KIJKYM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/bixR-KIJKYM/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Simplilearn', 'liveBroadcastContent': 'none', 'publishTime': '2020-09-23T15:30:02Z'}}",1613767,40828,40828
tflSzfzAKtE,"{'kind': 'youtube#searchResult', 'etag': '771UasF-7f1GhkTfOeHiKrihn_A', 'id': {'kind': 'youtube#video', 'videoId': 'tflSzfzAKtE'}, 'snippet': {'publishedAt': '2021-04-26T23:26:07Z', 'channelId': 'UCm3etYF7aATJek4_2086wgw', 'title': 'Contoh Digital Marketing, 6 Strategi Pemasaran Digital untuk Bisnis', 'description': 'Dalam video membaca blog Satelitweb kali ini, Devina akan membawakan contoh digital marketing, 6 strategi pemasaran digital ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/tflSzfzAKtE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tflSzfzAKtE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tflSzfzAKtE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'satelitweb', 'liveBroadcastContent': 'none', 'publishTime': '2021-04-26T23:26:07Z'}}",22309,506,506
