user_id,status,bidang_keahlian,hobi,modal_usaha,nama_usaha
0,udah_punya_usaha,"['homecare', 'healtcare']",['makan'],between_50_and_100,nama_usaha-0
1,udah_punya_usaha,"['healtcare', 'homecare']",['makan'],above_100,nama_usaha-1
2,udah_punya_usaha,"['homecare', 'kuliner']",['nonton'],above_100,nama_usaha-2
3,udah_punya_usaha,"['homecare', 'kuliner']",['baca'],under_50,nama_usaha-3
4,udah_punya_usaha,"['healtcare', 'kuliner']",['baca'],under_50,nama_usaha-4
5,udah_punya_usaha,"['healtcare', 'kuliner']",['olahraga'],under_50,nama_usaha-5
6,udah_punya_usaha,"['kuliner', 'healtcare']",['olahraga'],between_50_and_100,nama_usaha-6
7,udah_punya_usaha,"['healtcare', 'kuliner']",['travelling'],between_50_and_100,nama_usaha-7
8,udah_punya_usaha,"['healtcare', 'kuliner']",['makan'],under_50,nama_usaha-8
9,udah_punya_usaha,"['kuliner', 'homecare']",['olahraga'],under_50,nama_usaha-9
10,udah_punya_usaha,"['kuliner', 'healtcare']",['membaca'],above_100,nama_usaha-10
11,udah_punya_usaha,"['homecare', 'healtcare']",['membaca'],between_50_and_100,nama_usaha-11
12,udah_punya_usaha,"['homecare', 'healtcare']",['olahraga'],between_50_and_100,nama_usaha-12
13,udah_punya_usaha,"['kuliner', 'homecare']",['baca'],between_50_and_100,nama_usaha-13
14,udah_punya_usaha,"['kuliner', 'homecare']",['nonton'],above_100,nama_usaha-14
15,udah_punya_usaha,"['healtcare', 'kuliner']",['baca'],under_50,nama_usaha-15
16,udah_punya_usaha,"['kuliner', 'healtcare']",['travelling'],between_50_and_100,nama_usaha-16
17,udah_punya_usaha,"['kuliner', 'healtcare']",['nonton'],above_100,nama_usaha-17
18,udah_punya_usaha,"['healtcare', 'kuliner']",['membaca'],above_100,nama_usaha-18
19,udah_punya_usaha,"['healtcare', 'kuliner']",['membaca'],above_100,nama_usaha-19
20,udah_punya_usaha,"['kuliner', 'healtcare']",['travelling'],above_100,nama_usaha-20
21,udah_punya_usaha,"['homecare', 'healtcare']",['baca'],under_50,nama_usaha-21
22,udah_punya_usaha,"['kuliner', 'healtcare']",['nonton'],above_100,nama_usaha-22
23,udah_punya_usaha,"['kuliner', 'homecare']",['nonton'],under_50,nama_usaha-23
24,udah_punya_usaha,"['healtcare', 'kuliner']",['membaca'],under_50,nama_usaha-24
25,udah_punya_usaha,"['homecare', 'healtcare']",['olahraga'],between_50_and_100,nama_usaha-25
26,udah_punya_usaha,"['healtcare', 'kuliner']",['olahraga'],above_100,nama_usaha-26
27,udah_punya_usaha,"['kuliner', 'healtcare']",['olahraga'],between_50_and_100,nama_usaha-27
28,udah_punya_usaha,"['kuliner', 'healtcare']",['baca'],between_50_and_100,nama_usaha-28
29,udah_punya_usaha,"['kuliner', 'homecare']",['membaca'],under_50,nama_usaha-29
30,udah_punya_usaha,"['homecare', 'kuliner']",['membaca'],under_50,nama_usaha-30
31,udah_punya_usaha,"['kuliner', 'homecare']",['nonton'],between_50_and_100,nama_usaha-31
32,udah_punya_usaha,"['homecare', 'kuliner']",['olahraga'],under_50,nama_usaha-32
33,udah_punya_usaha,"['healtcare', 'homecare']",['makan'],under_50,nama_usaha-33
34,udah_punya_usaha,"['healtcare', 'homecare']",['baca'],under_50,nama_usaha-34
35,udah_punya_usaha,"['homecare', 'healtcare']",['makan'],under_50,nama_usaha-35
36,udah_punya_usaha,"['kuliner', 'healtcare']",['nonton'],under_50,nama_usaha-36
37,udah_punya_usaha,"['healtcare', 'homecare']",['nonton'],above_100,nama_usaha-37
38,udah_punya_usaha,"['healtcare', 'homecare']",['travelling'],between_50_and_100,nama_usaha-38
39,udah_punya_usaha,"['kuliner', 'healtcare']",['travelling'],between_50_and_100,nama_usaha-39
40,belum_punya_usaha,"['kuliner', 'healtcare']",['makan'],above_100,
41,belum_punya_usaha,"['healtcare', 'kuliner']",['olahraga'],between_50_and_100,
42,belum_punya_usaha,"['homecare', 'healtcare']",['travelling'],between_50_and_100,
43,belum_punya_usaha,"['healtcare', 'kuliner']",['nonton'],between_50_and_100,
44,belum_punya_usaha,"['kuliner', 'healtcare']",['baca'],above_100,
45,belum_punya_usaha,"['healtcare', 'kuliner']",['membaca'],above_100,
46,belum_punya_usaha,"['homecare', 'healtcare']",['membaca'],under_50,
47,belum_punya_usaha,"['homecare', 'healtcare']",['membaca'],under_50,
48,belum_punya_usaha,"['homecare', 'kuliner']",['membaca'],above_100,
49,belum_punya_usaha,"['homecare', 'healtcare']",['nonton'],under_50,
